,MarketName,ContractName,Risk
0,"How many @realDonaldTrump tweets mention ""emergency"" noon 3/12 - noon 3/19?",5,0.0
1,"How many @realDonaldTrump tweets mention ""emergency"" noon 3/12 - noon 3/19?",6,-2.7755575615628914e-17
2,"How many @realDonaldTrump tweets mention ""emergency"" noon 3/12 - noon 3/19?",7,0.0
3,"How many @realDonaldTrump tweets mention ""emergency"" noon 3/12 - noon 3/19?",9,0.0
4,"How many @realDonaldTrump tweets mention ""tanks"" noon 7/2 - noon 7/9?",1,0.0
5,"How many @realDonaldTrump tweets mention ""tanks"" noon 7/2 - noon 7/9?",2,2.7755575615628914e-17
6,How many Democrats will drop out by Aug. 31?,11-12,6.62
7,How many Democrats will drop out by Aug. 31?,4-,-14.33
8,How many Democrats will drop out by Aug. 31?,5-6,8.179999999999998
9,How many Democrats will drop out by Aug. 31?,7-8,0.0
10,How many Democrats will drop out by Aug. 31?,9-10,-0.46999999999999975
11,How many Democrats will drop out by Sept. 30?,10,0.0
12,How many Democrats will drop out by Sept. 30?,6-,0.0
13,How many Democrats will drop out by Sept. 30?,7,0.0
14,How many Democrats will drop out by Sept. 30?,8,0.0
15,How many Democrats will drop out by Sept. 30?,9,0.0
16,How many Democrats will have dropped out by Nov. 30?,10,-2.7
17,How many Democrats will have dropped out by Nov. 30?,11,-3.1
18,How many Democrats will have dropped out by Nov. 30?,9,-4.44
19,How many Senate-confirmed Cabinet members will leave between 11/19 and 3/31?,0-members,0.0
20,How many Senate-confirmed Cabinet members will leave between 11/19 and 3/31?,1-member,3.3306690738754696e-16
21,How many Senate-confirmed Cabinet members will leave between 11/19 and 3/31?,2-members,-5.551115123125783e-17
22,How many candidates will participate in Sept. 12-13 Democratic debate?,10,0.0
23,How many candidates will participate in Sept. 12-13 Democratic debate?,11,0.0
24,How many candidates will participate in Sept. 12-13 Democratic debate?,12,0.0
25,What will Biden's RCP average support be at end of day August 31?,300-309,0.0
26,What will Biden's RCP average support be at end of day August 31?,310-319,-7.216449660063518e-16
27,What will Biden's RCP average support be at end of day August 31?,320-329,-2.7755575615628914e-17
28,What will Buttigieg's RCP average support be at end of day May 31?,55-59,0.0
29,What will Buttigieg's RCP average support be at end of day May 31?,60-64,-2.220446049250313e-16
30,What will Democrats' 538 Congressional polling edge be for Aug. 1?,52-,0.0
31,What will Democrats' 538 Congressional polling edge be for Aug. 1?,53-56,0.0
32,What will Democrats' 538 Congressional polling edge be for Aug. 1?,57-60,-0.9899999999999999
33,What will Democrats' 538 Congressional polling edge be for Aug. 1?,61-64,0.0
34,What will Democrats' 538 Congressional polling edge be for Aug. 1?,65-68,0.0
35,What will Democrats' 538 Congressional polling edge be for Aug. 1?,69-72,0.99
36,What will Harris' RCP average support be at end of day July 31?,110-119,0.0
37,What will Harris' RCP average support be at end of day July 31?,120-129,0.0
38,What will Harris' RCP average support be at end of day July 31?,130-139,0.0
39,What will Harris' RCP average support be at end of day July 31?,150,0.0
40,What will Pete Buttigieg's RCP polling rank be on April 30?,3rd-or-higher,0.0
41,What will Sanders' RCP average support be at end of day August 31?,180-189,0.0
42,What will Sanders' RCP average support be at end of day July 31?,139-,0.0
43,What will Sanders' RCP average support be at end of day July 31?,140-149,0.0
44,What will Sanders' RCP average support be at end of day July 31?,150-159,0.0
45,What will Warren's RCP average support be at end of day August 31?,150-159,0.0
46,What will be the balance of power in Congress after the 2020 election?,"D-House,-R-Senate",-1.6653345369377348e-16
47,Which among these Democrats will have highest RCP polling on July 15?,Harris,0.0
48,Which of these 13 members of Trump’s Cabinet will leave next?,Acosta,0.0
49,Which of these 13 members of Trump’s Cabinet will leave next?,Perry,0.0
50,Which of these Democrats will drop out next?,Harris,0.0
51,Which of these Democrats will drop out next?,Sanders,0.0
52,Which party will win the 2019 Louisiana gubernatorial race?,Democratic,0.0
53,Which party will win the 2019 Louisiana gubernatorial race?,Republican,-2.71
54,Who will be 2nd in RCP Dem polling on Aug. 1?,Biden,5.7
55,Who will be 2nd in RCP Dem polling on Aug. 1?,Harris,5.551115123125783e-17
56,Who will be 2nd in RCP Dem polling on Aug. 1?,Sanders,-5.69
57,Who will be 2nd in RCP Dem polling on Aug. 1?,Warren,-1.6653345369377348e-16
58,Who will be Trump's next Supreme Court nominee?,Barrett,0.0
59,Who will be the next Senate-confirmed Secretary of Defense?,Esper,0.0
60,Who will be the next Senate-confirmed Secretary of Defense?,Graham,0.0
61,Who will be the next Senate-confirmed Secretary of Defense?,Keane,0.0
62,Who will be the next Senate-confirmed Secretary of Defense?,Shanahan,0.0
63,Who will be the next Senate-confirmed Secretary of Defense?,Webb,-6.938893903907228e-18
64,Who will be the next U.K. Conservative Party leader?,Hunt,-1.3877787807814457e-17
65,Who will be the next U.K. Conservative Party leader?,Johnson,0.0
66,Who will lead RCP polling for Dem presidential nomination on May 1?,Biden,0.0
67,Who will succeed Draghi as ECB president?,Lagarde,0.0
68,Who will win the 2020 Democratic presidential nomination?,Biden,1.3000000000000003
69,Who will win the 2020 Democratic presidential nomination?,Bloomberg,0.5800000000000001
70,Who will win the 2020 Democratic presidential nomination?,Booker,0.0
71,Who will win the 2020 Democratic presidential nomination?,Buttigieg,-0.4
72,Who will win the 2020 Democratic presidential nomination?,Clinton,0.36
73,Who will win the 2020 Democratic presidential nomination?,Gabbard,0.15
74,Who will win the 2020 Democratic presidential nomination?,Gillibrand,0.0
75,Who will win the 2020 Democratic presidential nomination?,Harris,-0.7499999999999998
76,Who will win the 2020 Democratic presidential nomination?,Inslee,0.0
77,Who will win the 2020 Democratic presidential nomination?,Klobuchar,-1.5
78,Who will win the 2020 Democratic presidential nomination?,Sanders,-5.28
79,Who will win the 2020 Democratic presidential nomination?,Steyer,5.551115123125783e-17
80,Who will win the 2020 Democratic presidential nomination?,Warren,-0.5
81,Who will win the 2020 Democratic presidential nomination?,Yang,0.7900000000000001
82,Who will win the 2020 Iowa Democratic caucuses?,Biden,1.0100000000000007
83,Who will win the 2020 Iowa Democratic caucuses?,Booker,2.7755575615628914e-17
84,Who will win the 2020 Iowa Democratic caucuses?,Buttigieg,1.44
85,Who will win the 2020 Iowa Democratic caucuses?,Clinton,0.18
86,Who will win the 2020 Iowa Democratic caucuses?,Harris,0.0
87,Who will win the 2020 Iowa Democratic caucuses?,Klobuchar,-14.450000000000001
88,Who will win the 2020 Iowa Democratic caucuses?,Sanders,-8.61
89,Who will win the 2020 Iowa Democratic caucuses?,Warren,-1.3
90,Who will win the 2020 Iowa Democratic caucuses?,Yang,5.119999999999999
91,Who will win the 2020 Nevada Democratic caucuses?,Biden,-3.9
92,Who will win the 2020 Nevada Democratic caucuses?,Clinton,0.27
93,Who will win the 2020 Nevada Democratic caucuses?,Sanders,0.0
94,Who will win the 2020 Nevada Democratic caucuses?,Warren,0.0
95,Who will win the 2020 Nevada Democratic caucuses?,Yang,0.19
96,Who will win the 2020 New Hampshire Democratic primary?,Biden,0.0
97,Who will win the 2020 New Hampshire Democratic primary?,Buttigieg,-0.09999999999999998
98,Who will win the 2020 New Hampshire Democratic primary?,Clinton,0.16
99,Who will win the 2020 New Hampshire Democratic primary?,Harris,-2.7755575615628914e-17
100,Who will win the 2020 New Hampshire Democratic primary?,Sanders,-2.6999999999999997
101,Who will win the 2020 New Hampshire Democratic primary?,Warren,-2.2300000000000004
102,Who will win the 2020 New Hampshire Democratic primary?,Yang,0.31
103,Who will win the 2020 South Carolina Democratic primary?,Biden,-3.25
104,Who will win the 2020 South Carolina Democratic primary?,Booker,-0.4500000000000001
105,Who will win the 2020 South Carolina Democratic primary?,Buttigieg,-0.13999999999999999
106,Who will win the 2020 South Carolina Democratic primary?,Clinton,0.27
107,Who will win the 2020 South Carolina Democratic primary?,Harris,-0.25
108,Who will win the 2020 South Carolina Democratic primary?,Yang,0.26
109,Will Amy Klobuchar participate in November Democratic debate?,Klobuchar-participate-in-Nov-debate,0.32
110,Will Amy Klobuchar participate in November Democratic debate?,Yes,-0.31999999999999995
111,Will Benjamin Netanyahu be prime minister of Israel at year-end?,No,-0.5
